#     D        Lambda1      !Teff = 17500
0.00000     -5.02650     0
0.00260     -4.09960     78
0.00520     -3.17260     156
0.00780     -2.24570     234
0.01040     -1.31870     312
0.01300     -0.39170     390
0.01560     0.53520     468
0.01820     1.46220     546
0.02080     2.38910     624
0.02340     3.31610     702
0.02600     4.24300     780
0.02860     5.17000     858
0.03120     6.09700     936
0.03380     7.02390     1014
0.03640     7.95090     1092
0.03900     8.87780     1170
0.04160     9.80480     1248
0.04420     10.73170     1326
0.04680     11.65870     1404
0.04940     12.58570     1482
0.05200     13.51260     1560
0.05460     14.43960     1638
0.05720     15.36650     1716
0.05987     16.29183     1793
0.06360     17.18510     1905
0.06703     18.08523     2005
0.07010     19.00110     2097
0.07350     19.90180     2196
0.07703     20.79963     2300
0.08077     21.69187     2411
0.08497     22.55917     2534
0.08943     23.41123     2668
0.09483     24.20530     2827
0.10077     24.96587     3002
0.10690     25.70810     3186
0.11360     26.40100     3384
0.12037     27.08640     3584
0.12690     27.79290     3780
0.13370     28.47540     3981
0.14043     29.16240     4180
0.14697     29.87070     4376
0.15320     30.60500     4560
0.15927     31.35347     4739
0.16480     32.14210     4905
0.17030     32.93170     5067
0.17577     33.72757     5228
0.18060     34.55790     5373
0.18590     35.36290     5529
0.19173     36.12940     5704
0.19727     36.91633     5867
0.20267     37.71360     6026
0.20787     38.52380     6182
0.21230     39.38350     6312
0.21630     40.26040     6429
0.21873     41.19203     6502
0.22047     42.14377     6551
0.22183     43.11623     6592
0.22263     44.08423     6613
0.22330     45.04980     6630
0.22420     46.03450     6657
0.22507     47.02737     6680
0.22590     48.00760     6702
0.22693     48.98017     6733
0.22797     49.95273     6764
0.22900     50.92530     6795
0.22925     51.90775     6807
0.22943     52.93643     6818
0.22962     53.96514     6829
0.22980     54.99390     6840
0.22987     55.97481     6869
0.22993     56.95401     6901
0.23000     57.93321     6933
0.23006     58.91240     6965
0.23012     59.89160     6997
0.23019     60.87080     7029
0.23067     61.84187     7049
0.23080     62.80157     34154
0.23080     63.76137     62948
0.23080     64.72117     91742
0.23080     65.68097     120536
0.23080     66.64077     149330
0.23080     67.60057     178124
0.23080     68.56037     206918
0.23080     69.52017     235712
0.23080     70.47997     264506
0.23080     71.43977     293300
0.23080     72.39957     322094
0.23080     73.35937     350888
0.23080     74.31917     379682
0.23080     75.27897     408476
0.23080     76.23877     437270
0.23080     77.19857     466064
0.23080     78.15837     494858
0.23080     79.11817     523652
0.23080     80.07797     552446
0.23080     81.03777     581240
0.23080     81.99757     610034
0.23080     82.95737     638828
0.23080     83.91717     667622
0.23080     84.87697     696416
0.23080     85.00000     700109
