#     D        Lambda1      !Teff = 9500
0.14730     -10.00020     0
0.15717     -9.45973     296
0.16703     -8.91927     592
0.17690     -8.37880     888
0.18677     -7.83830     1184
0.19663     -7.29780     1480
0.20650     -6.75730     1776
0.21637     -6.21683     2072
0.22623     -5.67637     2368
0.23610     -5.13590     2664
0.24597     -4.59540     2960
0.25583     -4.05487     3256
0.26570     -3.51440     3552
0.27557     -2.97393     3848
0.28513     -2.37903     4132
0.29407     -1.69470     4399
0.30353     -1.08437     4681
0.31153     -0.28920     4918
0.31893     0.56010     5137
0.32617     1.42207     5351
0.33343     2.28347     5566
0.34067     3.14453     5783
0.34790     4.00760     5997
0.35500     4.88410     6207
0.36187     5.77710     6410
0.36907     6.64180     6626
0.37663     7.47830     6850
0.38407     8.32013     7070
0.39123     9.18957     7282
0.39810     10.08360     7488
0.40500     10.97220     7692
0.41187     11.86307     7895
0.41857     12.76777     8093
0.42503     13.68947     8287
0.43093     14.65120     8461
0.43687     15.60490     8636
0.44327     16.53077     8825
0.44973     17.45247     9019
0.45617     18.37730     9209
0.46230     19.32510     9390
0.46800     20.29900     9558
0.47440     21.22620     9750
0.48117     22.12657     9950
0.48800     23.02290     10152
0.49457     23.94197     10346
0.50047     24.90457     10523
0.50650     25.85880     10701
0.51243     26.81390     10876
0.51797     27.79410     11042
0.52327     28.78497     11198
0.52777     29.81630     11330
0.53137     30.89533     11435
0.53387     31.99533     11510
0.53493     33.12997     11542
0.53530     34.25283     31735
0.53530     35.37630     65439
0.53530     36.49977     99143
0.53473     37.69087     104270
0.53413     38.84960     104288
0.53350     39.97130     112176
0.53350     41.09477     145880
0.53313     42.26250     155351
0.53260     43.41890     155367
0.53183     44.54310     155389
0.53070     45.67770     155421
0.52980     46.81000     155445
0.52910     48.03180     155463
0.52817     49.16827     155491
0.52690     50.28920     155526
0.52473     51.40590     155591
0.52257     52.52257     155656
0.52040     53.63920     155721
0.51823     54.75590     155786
0.51607     55.87257     155851
0.51390     56.98920     155916
0.51173     58.10590     155981
0.50957     59.22257     156046
0.50740     60.33920     156111
0.50557     61.46003     156163
0.50400     62.59390     156207
0.50250     63.72460     156252
0.50067     64.83337     156304
0.49863     65.95130     156362
0.49623     67.06093     156431
0.49337     68.16090     156517
0.49143     69.27077     156572
0.48967     70.39193     156622
0.48790     71.51310     156675
0.48643     72.63843     156716
0.48490     73.76690     156759
0.48330     74.91440     156804
0.48180     76.03110     156849
0.47950     77.13740     156915
0.47753     78.26333     156971
0.47610     79.40250     157011
0.47463     80.53917     157055
0.47317     81.67583     157099
0.47170     82.81250     157143
0.47023     83.94917     157187
0.46880     85.06000     157232
